country,year,population,gdp,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,methane,nitrous_oxide,total_ghg,temperature_change_from_co2
Brazil,1990,149143223.0,1185475140000.0,218.658,1.466,37.095,151.775,7.484,11.062,365.41,100.456,2105.299,0.03
Brazil,1991,151724253.0,1213090136106.0,229.394,1.512,42.466,156.7,7.336,11.776,373.664,103.996,2189.194,0.031
Brazil,1992,154275077.0,1221828516629.0,233.601,1.514,41.203,163.252,7.983,9.77,379.587,106.648,2267.928,0.031
Brazil,1993,156794574.0,1298220757545.0,244.306,1.558,42.343,171.252,8.73,10.164,382.577,110.082,2282.487,0.032
Brazil,1994,159265011.0,1391783970549.0,254.002,1.595,43.664,179.165,8.985,10.086,391.601,111.742,2672.895,0.033
Brazil,1995,161735079.0,1468835128486.0,268.678,1.661,45.582,190.347,9.603,11.528,397.709,113.545,2645.838,0.034
Brazil,1996,164202549.0,1520364859776.0,289.311,1.762,46.471,206.279,10.608,13.884,387.277,109.087,2586.919,0.035
Brazil,1997,166661662.0,1591956040321.0,306.949,1.842,47.047,219.83,11.863,15.267,396.153,111.744,2696.838,0.036
Brazil,1998,169159651.0,1617675773756.0,317.359,1.876,45.591,229.578,12.411,16.175,404.289,122.874,2929.596,0.037
Brazil,1999,171641544.0,1645887982219.0,327.256,1.907,46.805,235.468,14.069,16.439,410.408,123.775,2965.704,0.038
Brazil,2000,174018278.0,1739728033832.0,340.183,1.955,50.457,239.491,18.443,16.047,417.31,123.375,2823.803,0.039
Brazil,2001,176301201.0,1785513006345.0,346.166,1.963,49.43,241.792,23.185,15.227,429.615,127.265,2783.375,0.04
Brazil,2002,178503485.0,1861742323845.0,347.765,1.948,48.689,239.219,29.293,14.39,450.588,132.379,2981.136,0.041
Brazil,2003,180622688.0,1904932706436.0,344.645,1.908,51.933,232.434,30.919,13.096,471.538,137.421,3846.776,0.043
Brazil,2004,182675144.0,2038447931287.0,361.434,1.979,53.833,239.768,38.215,13.273,494.991,145.924,3313.758,0.044
Brazil,2005,184688101.0,2129214530430.0,364.371,1.973,50.952,240.218,39.619,14.349,497.686,145.947,3057.048,0.045
Brazil,2006,186653099.0,2240805319046.0,368.871,1.976,50.835,242.251,42.053,15.44,493.284,143.004,2819.171,0.046
Brazil,2007,188552311.0,2405626901513.0,390.573,2.071,54.989,256.003,43.246,17.2,491.52,155.795,2745.828,0.047
Brazil,2008,190367297.0,2559842659987.0,412.638,2.168,55.315,267.239,51.303,18.884,488.155,148.711,2616.45,0.048
Brazil,2009,192079958.0,2589568436235.0,389.775,2.029,43.586,262.705,40.959,19.031,486.858,144.287,2432.428,0.049
Brazil,2010,193701931.0,2820492538862.0,440.269,2.273,56.688,286.08,55.049,21.288,507.871,162.328,2422.236,0.049
Brazil,2011,195284736.0,2968455007203.0,461.911,2.365,62.292,303.885,53.101,22.176,505.267,159.959,2379.088,0.05
Brazil,2012,196876113.0,3025484250011.0,497.468,2.527,61.016,327.734,63.397,24.157,506.852,161.607,2503.241,0.051
Brazil,2013,198478290.0,3116394665745.0,531.569,2.678,65.604,342.338,74.704,25.803,506.459,161.161,2568.796,0.052
Brazil,2014,200085126.0,3132099937531.0,556.526,2.781,69.037,356.751,81.285,25.533,512.64,167.812,2628.207,0.053
Brazil,2015,201675534.0,3021043246476.0,528.174,2.619,69.455,330.356,80.464,23.903,521.174,165.629,2617.904,0.054
Brazil,2016,203218108.0,2922076150345.0,491.745,2.42,63.828,312.942,69.666,21.412,524.133,164.676,2512.195,0.054
Brazil,2017,204703440.0,2960731613785.0,497.255,2.429,67.318,315.045,70.688,20.306,522.645,173.265,2431.265,0.055
Brazil,2018,206107265.0,3013541086239.0,476.601,2.312,65.837,298.889,67.418,20.559,522.116,167.676,2423.189,0.056
Brazil,2019,207455459.0,3050327159562.0,476.724,2.298,61.885,302.98,67.122,20.841,528.946,175.207,2468.734,0.057
Brazil,2020,208660845.0,2950377451264.0,447.999,2.147,55.949,285.284,59.027,23.843,535.772,183.761,2571.217,0.058
Brazil,2021,209550291.0,3097565215045.0,496.562,2.37,67.936,303.465,75.975,25.288,545.361,189.952,2774.466,0.059
Brazil,2022,210306411.0,3187412907763.0,480.058,2.283,56.112,315.339,60.086,24.625,566.221,194.986,2875.004,0.06
Brazil,2023,211140731.0,,483.992,2.292,54.906,323.29,56.12,25.779,566.203,196.181,2817.818,0.06
Brazil,2024,211998565.0,,483.012,2.278,50.954,323.865,58.914,25.381,579.99,203.971,2804.431,0.061
Canada,1990,27789437.0,835996817449.0,458.018,16.482,99.139,212.193,125.706,5.823,97.489,44.935,802.014,0.02
Canada,1991,28157154.0,820274272433.0,449.776,15.974,104.152,199.964,125.276,4.771,99.285,42.125,780.829,0.02
Canada,1992,28500066.0,829742094636.0,463.393,16.259,106.985,202.862,132.473,4.804,103.655,42.163,812.695,0.021
Canada,1993,28830635.0,853775990714.0,464.072,16.096,99.618,206.16,137.022,4.893,105.476,43.854,812.271,0.021
Canada,1994,29147383.0,894851932653.0,478.468,16.415,103.287,211.173,140.26,5.769,109.122,47.992,839.308,0.021
Canada,1995,29459138.0,921360066054.0,491.305,16.678,104.709,213.868,147.985,6.529,112.922,47.888,862.328,0.022
Canada,1996,29767210.0,938872519434.0,507.775,17.058,106.867,220.802,154.547,6.185,114.909,48.086,901.971,0.022
Canada,1997,30059088.0,981728042651.0,522.019,17.366,113.731,228.749,153.155,6.657,117.49,41.082,879.081,0.022
Canada,1998,30329971.0,1022474596969.0,529.615,17.462,119.841,231.618,149.967,6.828,118.379,41.351,882.794,0.023
Canada,1999,30599458.0,1078414980757.0,543.859,17.774,120.136,234.589,162.468,7.118,118.62,40.253,901.371,0.023
Canada,2000,30891800.0,1137681278760.0,566.68,18.344,129.483,237.243,173.031,7.232,121.653,38.863,959.412,0.023
Canada,2001,31213578.0,1161459919261.0,558.981,17.908,126.847,241.282,165.269,6.983,121.985,37.813,947.803,0.024
Canada,2002,31535579.0,1199865635264.0,564.256,17.893,124.528,242.197,171.331,7.148,124.416,38.558,937.466,0.024
Canada,2003,31836483.0,1224575760991.0,581.19,18.255,123.577,257.913,173.956,7.248,123.516,39.308,948.6,0.024
Canada,2004,32132680.0,1265917327101.0,576.286,17.935,116.233,263.667,169.728,7.52,127.205,38.632,948.803,0.025
Canada,2005,32440172.0,1310077836124.0,570.396,17.583,117.261,258.105,168.709,7.614,126.354,39.671,937.127,0.025
Canada,2006,32759174.0,1348293394113.0,566.315,17.287,114.604,256.937,168.049,7.728,129.923,37.06,910.424,0.025
Canada,2007,33092171.0,1379925831954.0,589.956,17.828,119.204,263.617,180.415,7.731,128.17,40.612,907.137,0.026
Canada,2008,33449088.0,1397938727409.0,574.214,17.167,113.144,255.22,180.742,6.988,124.892,39.386,884.187,0.026
Canada,2009,33826370.0,1360538049277.0,541.13,15.997,93.714,251.479,173.864,5.364,118.125,37.796,798.718,0.026
Canada,2010,34196900.0,1406355361431.0,554.307,16.209,96.395,257.185,177.71,6.005,118.916,38.816,796.322,0.027
Canada,2011,34555449.0,1454221365109.0,562.832,16.288,87.382,258.636,193.459,6.02,119.642,41.119,850.878,0.027
Canada,2012,34922513.0,1479829523672.0,561.77,16.086,82.209,258.238,196.532,6.532,122.582,42.91,857.8,0.027
Canada,2013,35293421.0,1514296485427.0,568.59,16.11,79.921,259.85,203.564,5.973,123.239,42.682,864.227,0.028
Canada,2014,35634265.0,1557757464897.0,564.938,15.854,77.558,252.104,210.171,5.912,128.456,42.09,879.992,0.028
Canada,2015,35962236.0,1568025782105.0,563.003,15.655,74.336,251.971,212.68,6.185,127.164,42.069,879.932,0.028
Canada,2016,36353345.0,1583727974022.0,553.707,15.231,74.532,247.842,209.467,6.114,122.513,41.094,846.42,0.029
Canada,2017,36808498.0,1631871440185.0,566.66,15.395,73.963,252.357,217.102,6.863,124.508,41.847,878.589,0.029
Canada,2018,37294996.0,1677189073139.0,575.091,15.42,62.467,258.216,230.629,6.99,125.972,43.702,873.207,0.029
Canada,2019,37782934.0,1708858221312.0,579.007,15.325,59.811,260.942,233.909,7.195,125.164,42.378,861.407,0.029
Canada,2020,38171903.0,1622144486274.0,524.208,13.733,49.442,225.773,224.876,6.713,110.822,44.289,795.989,0.03
Canada,2021,38454058.0,1703443269914.0,537.479,13.977,47.059,233.624,231.229,7.385,114.91,43.141,821.735,0.03
Canada,2022,38821259.0,1761295624423.0,547.658,14.107,39.157,242.291,240.854,6.752,117.055,43.208,815.455,0.03
Canada,2023,39299098.0,,545.479,13.88,36.384,241.526,240.94,7.3,118.72,44.853,825.051,0.031
Canada,2024,39742429.0,,533.34,13.42,28.672,244.572,233.468,7.3,115.338,44.735,802.732,0.031
China,1990,1153582725.0,3385121670000.0,2483.534,2.153,1976.808,330.292,29.301,83.068,867.343,298.926,4205.167,0.044
China,1991,1170788533.0,3508948004345.0,2619.143,2.237,2049.723,356.027,30.778,99.573,870.125,305.411,4315.059,0.046
China,1992,1184574236.0,3755037703201.0,2731.29,2.306,2114.612,385.794,30.239,120.352,873.359,311.31,4445.956,0.047
China,1993,1197308574.0,4126169229667.0,2914.284,2.434,2228.683,428.549,35.728,140.333,876.821,307.525,4591.354,0.049
China,1994,1209003099.0,4438753488140.0,3093.891,2.559,2380.736,423.712,41.568,161.567,900.154,319.726,4901.601,0.05
China,1995,1220133929.0,4809999898743.0,3351.197,2.747,2569.699,468.23,42.436,181.48,949.913,365.036,5151.296,0.052
China,1996,1230944809.0,5127589598793.0,3499.311,2.843,2660.288,510.622,44.47,189.556,970.8,384.1,5359.031,0.054
China,1997,1241139623.0,5291338914515.0,3512.35,2.83,2609.78,557.961,44.158,199.406,928.915,359.304,5318.064,0.056
China,1998,1250847122.0,5338703042331.0,3355.336,2.682,2444.896,559.262,50.501,207.755,934.065,368.418,5195.279,0.057
China,1999,1260176650.0,5578503091801.0,3549.949,2.817,2580.985,596.751,54.572,224.419,937.708,380.822,5342.072,0.059
China,2000,1269581174.0,5952682232028.0,3643.81,2.87,2601.591,648.685,59.796,240.21,950.032,372.301,5282.098,0.061
China,2001,1278725061.0,6329737256820.0,3724.114,2.912,2637.885,659.301,67.158,266.198,957.323,371.259,5282.242,0.063
China,2002,1286866835.0,6814493895929.0,4098.181,3.185,3018.604,653.087,53.993,277.856,961.78,388.482,5600.191,0.065
China,2003,1294517323.0,7248623080792.0,4835.251,3.735,3601.892,727.099,60.745,347.633,1007.435,398.818,6373.199,0.067
China,2004,1302100316.0,7830953177799.0,5210.961,4.002,3835.193,839.096,71.521,362.099,1069.441,418.315,6840.591,0.069
China,2005,1310027135.0,8602939667333.0,5881.991,4.49,4424.24,850.176,84.957,411.643,1119.984,435.414,7551.543,0.072
China,2006,1318054030.0,9489543138489.0,6486.185,4.921,4905.253,898.537,103.753,462.05,1162.008,447.929,8215.579,0.075
China,2007,1325813576.0,10358206113742.0,6974.663,5.261,5289.79,927.355,129.515,506.177,1176.147,458.677,8701.73,0.078
